Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Notes/BoxScore,Notes/BoxScore,Attend.,LOG,Arena,Notes,Year,Month
"Tue, Oct 31, 2000",7:30p,Charlotte Hornets,106,Atlanta Hawks,82,Box Score,,"18,465",,Philips Arena,,2001,October
"Tue, Oct 31, 2000",7:30p,Cleveland Cavaliers,86,New Jersey Nets,82,Box Score,,"14,505",,Continental Airlines Arena,,2001,October
"Tue, Oct 31, 2000",7:30p,Washington Wizards,86,Orlando Magic,97,Box Score,,"13,349",,TD Waterhouse Centre,,2001,October
"Tue, Oct 31, 2000",8:00p,Milwaukee Bucks,93,Dallas Mavericks,97,Box Score,,"16,600",,Reunion Arena,,2001,October
"Tue, Oct 31, 2000",8:00p,Philadelphia 76ers,101,New York Knicks,72,Box Score,,"19,763",,Madison Square Garden (IV),,2001,October
"Tue, Oct 31, 2000",8:00p,Detroit Pistons,104,Toronto Raptors,95,Box Score,,"19,800",,Air Canada Centre,,2001,October
"Tue, Oct 31, 2000",8:30p,Sacramento Kings,100,Chicago Bulls,81,Box Score,,"21,814",,United Center,,2001,October
"Tue, Oct 31, 2000",8:30p,Minnesota Timberwolves,106,Houston Rockets,98,Box Score,,"11,327",,Compaq Center,,2001,October
"Tue, Oct 31, 2000",8:30p,Indiana Pacers,85,San Antonio Spurs,98,Box Score,,"17,450",,Alamodome,,2001,October
"Tue, Oct 31, 2000",9:00p,Los Angeles Clippers,94,Utah Jazz,107,Box Score,,"17,824",,Delta Center,,2001,October
"Tue, Oct 31, 2000",10:30p,Phoenix Suns,94,Golden State Warriors,96,Box Score,,"15,460",,The Arena in Oakland,,2001,October
"Tue, Oct 31, 2000",10:30p,Los Angeles Lakers,96,Portland Trail Blazers,86,Box Score,,"20,270",,Rose Garden Arena,,2001,October
"Tue, Oct 31, 2000",10:30p,Seattle SuperSonics,88,Vancouver Grizzlies,94,Box Score,,"15,779",,General Motors Place,,2001,October
