Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,ORtg,DRtg,Pace,FTr,3PAr,TS_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,eFG_pct_off,TOV_pct_off,ORB_pct,FT_FGA_off,eFG_pct_def,TOV_pct_def,ORB_pct_def,FT_FGA_def
1,1,2026-04-19,,POR,W,111,98,,117.4,103.6,94.6,.226,.393,.601,54.2,60.0,6.3,9.4,.565,13.2,26.8,.190,.484,10.3,19.0,.110
2,2,2026-04-21,,POR,L,103,106,,105.7,108.8,97.5,.326,.279,.524,51.1,50.0,13.3,9.8,.483,14.7,30.0,.233,.500,13.1,31.3,.191
3,3,2026-04-24,@,POR,W,120,108,,124.8,112.3,96.2,.322,.379,.604,52.6,65.9,6.2,15.4,.563,13.1,32.6,.253,.489,9.7,30.8,.222
4,4,2026-04-26,@,POR,W,114,93,,117.4,95.8,97.1,.195,.379,.603,50.6,60.5,12.4,20.4,.575,12.1,22.0,.161,.463,16.6,18.4,.238
5,5,2026-04-28,,POR,W,114,95,,120.7,100.6,94.5,.387,.400,.649,52.5,65.9,5.3,17.0,.627,16.2,22.6,.267,.410,8.0,28.6,.191
6,6,2026-05-04,,MIN,L,102,104,,106.4,108.5,95.9,.207,.414,.537,50.5,61.5,4.2,21.9,.506,12.9,27.7,.161,.511,11.6,26.1,.133
7,7,2026-05-06,,MIN,W,133,95,,123.9,88.5,107.4,.367,.433,.636,56.1,64.4,12.1,15.5,.589,13.3,29.5,.300,.449,17.8,22.2,.182
8,8,2026-05-08,@,MIN,W,115,108,,114.2,107.2,100.7,.388,.388,.578,47.1,66.7,8.9,11.9,.529,9.1,17.0,.294,.455,10.0,27.3,.182
9,9,2026-05-10,@,MIN,L,109,114,,110.2,115.2,98.9,.314,.302,.557,45.6,41.5,13.1,4.5,.512,12.5,27.7,.244,.500,14.1,34.9,.213
10,10,2026-05-12,,MIN,W,126,97,,124.0,95.5,101.6,.303,.360,.625,54.3,53.2,8.9,16.0,.590,12.9,25.6,.236,.440,14.3,20.4,.289
11,11,2026-05-15,@,MIN,W,139,109,,134.0,105.1,103.7,.307,.432,.696,67.4,69.4,1.9,18.1,.659,13.8,37.5,.261,.434,4.2,15.8,.160
12,12,2026-05-18,@,OKC,W,122,115,2OT,108.7,102.4,92.9,.302,.448,.561,60.4,61.0,9.8,12.5,.495,17.5,32.6,.281,.490,12.1,16.4,.158
13,13,2026-05-20,@,OKC,L,113,122,,120.5,130.1,93.8,.202,.476,.618,52.3,53.7,5.3,10.3,.583,18.7,40.0,.179,.548,8.7,37.0,.202
14,14,2026-05-22,,OKC,L,108,123,,111.3,126.7,97.1,.413,.513,.571,47.4,76.5,8.2,14.0,.506,13.7,20.9,.338,.586,10.3,20.0,.346
15,15,2026-05-24,,OKC,W,103,82,,101.5,80.8,101.4,.356,.367,.495,52.5,71.4,10.8,17.2,.439,11.1,28.0,.267,.363,16.8,22.4,.176
16,16,2026-05-26,@,OKC,L,114,127,,113.5,126.4,100.4,.348,.446,.537,46.1,67.6,13.9,5.9,.467,12.4,30.6,.304,.566,14.6,35.0,.398
17,17,2026-05-28,,OKC,W,118,91,,121.0,93.3,97.5,.284,.466,.596,55.3,73.2,8.2,13.0,.551,11.6,26.8,.239,.426,11.6,22.6,.117
18,18,2026-05-30,@,OKC,W,111,103,,122.4,113.5,90.7,.216,.455,.576,51.3,52.5,9.9,4.2,.551,11.1,34.9,.159,.518,13.1,28.6,.205
